Datetime,Upstream,Downstream,Body,Actuator,Hyperbaric,Backseat,Spring Chamber,Primary Stem Seal,Secondary Stem Seal,Relief Port,BX Port,Flow Meter,Mass Spectrometer Mantissa,Mass Spectrometer,LVDT,Torque,Number Of Turns,Motor Speed,Ambient Temperature,Body Temperature,Monitor Temperature,Chamber Temperature,Hyperbaric Water Temperature,Close,Open,Cycle Count
01/10/2025 16:24:25.398,-1961597,-1961670,-1960496,-1960257,-1960272,-1959472,-1959959,-1960585,-1960247,-1960181,-1959494,-1953038,0,0,46,-224,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.408,-1961597,-1961670,-1960497,-1960256,-1960272,-1959472,-1959959,-1960585,-1960246,-1960181,-1959494,-1953056,0,0,48,-246,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.418,-1961595,-1961669,-1960497,-1960256,-1960273,-1959472,-1959958,-1960585,-1960246,-1960181,-1959494,-1953052,0,0,84,-211,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.428,-1961594,-1961668,-1960496,-1960255,-1960274,-1959472,-1959958,-1960585,-1960246,-1960181,-1959494,-1953031,0,19,74,-185,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.438,-1961592,-1961668,-1960495,-1960254,-1960273,-1959471,-1959958,-1960585,-1960246,-1960181,-1959494,-1953005,0,44,61,-211,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.448,-1961592,-1961668,-1960495,-1960254,-1960273,-1959471,-1959958,-1960586,-1960247,-1960181,-1959494,-1953020,0,39,53,-235,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.458,-1961591,-1961668,-1960494,-1960254,-1960274,-1959472,-1959958,-1960586,-1960247,-1960181,-1959493,-1953063,0,7,56,-225,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.468,-1961591,-1961667,-1960494,-1960255,-1960274,-1959472,-1959958,-1960586,-1960246,-1960181,-1959492,-1953061,0,14,55,-213,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.478,-1961590,-1961667,-1960494,-1960255,-1960275,-1959472,-1959959,-1960586,-1960246,-1960180,-1959492,-1953014,0,17,44,-204,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.488,-1961589,-1961667,-1960495,-1960255,-1960275,-1959472,-1959959,-1960586,-1960246,-1960179,-1959491,-1953030,0,2,58,-221,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.498,-1961590,-1961666,-1960495,-1960255,-1960276,-1959473,-1959958,-1960586,-1960246,-1960179,-1959491,-1953065,0,0,62,-241,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.508,-1961590,-1961665,-1960495,-1960255,-1960276,-1959473,-1959958,-1960586,-1960245,-1960179,-1959491,-1953034,0,0,59,-233,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.518,-1961591,-1961665,-1960494,-1960256,-1960275,-1959472,-1959958,-1960586,-1960246,-1960180,-1959493,-1953016,0,21,64,-242,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.528,-1961591,-1961665,-1960494,-1960257,-1960275,-1959472,-1959958,-1960586,-1960246,-1960179,-1959493,-1953028,0,38,89,-247,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.538,-1961591,-1961664,-1960495,-1960256,-1960274,-1959472,-1959958,-1960585,-1960246,-1960178,-1959493,-1953029,0,34,84,-212,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
